cik,filer_cik,ticker,fiscal_year,report_date,filing_date,accession,path,error
0000320193,0000320193,AAPL,2007,2007-09-29,2007-11-15,0001047469-07-009340,data/raw/0000320193/000104746907009340/a2181030z10-k.htm,
0000320193,0000320193,AAPL,2008,2008-09-27,2008-11-05,0001193125-08-224958,data/raw/0000320193/000119312508224958/d10k.htm,
0000320193,0000320193,AAPL,2009,2009-09-26,2009-10-27,0001193125-09-214859,data/raw/0000320193/000119312509214859/d10k.htm,
0000320193,0000320193,AAPL,2010,2010-09-25,2010-10-27,0001193125-10-238044,data/raw/0000320193/000119312510238044/d10k.htm,
0000320193,0000320193,AAPL,2011,2011-09-24,2011-10-26,0001193125-11-282113,data/raw/0000320193/000119312511282113/d220209d10k.htm,
0000320193,0000320193,AAPL,2012,2012-09-29,2012-10-31,0001193125-12-444068,data/raw/0000320193/000119312512444068/d411355d10k.htm,
0000320193,0000320193,AAPL,2013,2013-09-28,2013-10-30,0001193125-13-416534,data/raw/0000320193/000119312513416534/d590790d10k.htm,
0000320193,0000320193,AAPL,2014,2014-09-27,2014-10-27,0001193125-14-383437,data/raw/0000320193/000119312514383437/d783162d10k.htm,
0000320193,0000320193,AAPL,2015,2015-09-26,2015-10-28,0001193125-15-356351,data/raw/0000320193/000119312515356351/d17062d10k.htm,
0000320193,0000320193,AAPL,2016,2016-09-24,2016-10-26,0001628280-16-020309,data/raw/0000320193/000162828016020309/a201610-k9242016.htm,
0000320193,0000320193,AAPL,2017,2017-09-30,2017-11-03,0000320193-17-000070,data/raw/0000320193/000032019317000070/a10-k20179302017.htm,
0000320193,0000320193,AAPL,2018,2018-09-29,2018-11-05,0000320193-18-000145,data/raw/0000320193/000032019318000145/a10-k20189292018.htm,
0000320193,0000320193,AAPL,2019,2019-09-28,2019-10-31,0000320193-19-000119,data/raw/0000320193/000032019319000119/a10-k20199282019.htm,
0000320193,0000320193,AAPL,2020,2020-09-26,2020-10-30,0000320193-20-000096,data/raw/0000320193/000032019320000096/aapl-20200926.htm,
0000320193,0000320193,AAPL,2021,2021-09-25,2021-10-29,0000320193-21-000105,data/raw/0000320193/000032019321000105/aapl-20210925.htm,
0000320193,0000320193,AAPL,2022,2022-09-24,2022-10-28,0000320193-22-000108,data/raw/0000320193/000032019322000108/aapl-20220924.htm,
0000320193,0000320193,AAPL,2023,2023-09-30,2023-11-03,0000320193-23-000106,data/raw/0000320193/000032019323000106/aapl-20230930.htm,
0000320193,0000320193,AAPL,2024,2024-09-28,2024-11-01,0000320193-24-000123,data/raw/0000320193/000032019324000123/aapl-20240928.htm,
0000320193,0000320193,AAPL,2025,2025-09-27,2025-10-31,0000320193-25-000079,data/raw/0000320193/000032019325000079/aapl-20250927.htm,
0001551152,0001551152,ABBV,2012,2012-12-31,2013-03-15,0001047469-13-002827,data/raw/0001551152/000104746913002827/a2213529z10-k.htm,
0001551152,0001551152,ABBV,2013,2013-12-31,2014-02-21,0001047469-14-001154,data/raw/0001551152/000104746914001154/a2217723z10-k.htm,
0001551152,0001551152,ABBV,2014,2014-12-31,2015-02-20,0001047469-15-000995,data/raw/0001551152/000104746915000995/a2223058z10-k.htm,
0001551152,0001551152,ABBV,2015,2015-12-31,2016-02-19,0001047469-16-010239,data/raw/0001551152/000104746916010239/a2227341z10-k.htm,
0001551152,0001551152,ABBV,2016,2016-12-31,2017-02-17,0001551152-17-000004,data/raw/0001551152/000155115217000004/abbv-12312016x10k.htm,
0001551152,0001551152,ABBV,2017,2017-12-31,2018-02-16,0001551152-18-000014,data/raw/0001551152/000155115218000014/abbv-20171231x10k.htm,
0001551152,0001551152,ABBV,2018,2018-12-31,2019-02-27,0001551152-19-000008,data/raw/0001551152/000155115219000008/abbv-20181231x10k.htm,
0001551152,0001551152,ABBV,2019,2019-12-31,2020-02-21,0001551152-20-000007,data/raw/0001551152/000155115220000007/abbv-20191231x10k.htm,
0001551152,0001551152,ABBV,2020,2020-12-31,2021-02-19,0001551152-21-000008,data/raw/0001551152/000155115221000008/abbv-20201231.htm,
0001551152,0001551152,ABBV,2021,2021-12-31,2022-02-18,0001551152-22-000007,data/raw/0001551152/000155115222000007/abbv-20211231.htm,
0001551152,0001551152,ABBV,2022,2022-12-31,2023-02-17,0001551152-23-000011,data/raw/0001551152/000155115223000011/abbv-20221231.htm,
0001551152,0001551152,ABBV,2023,2023-12-31,2024-02-20,0001551152-24-000011,data/raw/0001551152/000155115224000011/abbv-20231231.htm,
0001551152,0001551152,ABBV,2024,2024-12-31,2025-02-14,0001551152-25-000020,data/raw/0001551152/000155115225000020/abbv-20241231.htm,
0001551152,0001551152,ABBV,2025,2025-12-31,2026-02-20,0001551152-26-000008,data/raw/0001551152/000155115226000008/abbv-20251231.htm,
0000001800,0000001800,ABT,2007,2007-12-31,2008-02-19,0001047469-08-001480,data/raw/0000001800/000104746908001480/a2182445z10-k.htm,
0000001800,0000001800,ABT,2008,2008-12-31,2009-02-20,0001047469-09-001642,data/raw/0000001800/000104746909001642/a2188623z10-k.htm,
0000001800,0000001800,ABT,2009,2009-12-31,2010-02-19,0001047469-10-001018,data/raw/0000001800/000104746910001018/a2196380z10-k.htm,
0000001800,0000001800,ABT,2010,2010-12-31,2011-02-18,0001047469-11-001056,data/raw/0000001800/000104746911001056/a2201962z10-k.htm,
0000001800,0000001800,ABT,2011,2011-12-31,2012-02-21,0001047469-12-001216,data/raw/0000001800/000104746912001216/a2207147z10-k.htm,
0000001800,0000001800,ABT,2012,2012-12-31,2013-02-15,0001047469-13-001180,data/raw/0000001800/000104746913001180/a2212523z10-k.htm,
0000001800,0000001800,ABT,2013,2013-12-31,2014-02-21,0001047469-14-001176,data/raw/0000001800/000104746914001176/a2218043z10-k.htm,
0000001800,0000001800,ABT,2014,2014-12-31,2015-02-27,0001047469-15-001377,data/raw/0000001800/000104746915001377/a2222655z10-k.htm,
0000001800,0000001800,ABT,2015,2015-12-31,2016-02-19,0001047469-16-010246,data/raw/0000001800/000104746916010246/a2227279z10-k.htm,
0000001800,0000001800,ABT,2016,2016-12-31,2017-02-17,0001047469-17-000744,data/raw/0000001800/000104746917000744/a2230875z10-k.htm,
0000001800,0000001800,ABT,2017,2017-12-31,2018-02-16,0001047469-18-000856,data/raw/0000001800/000104746918000856/a2234264z10-k.htm,
0000001800,0000001800,ABT,2018,2018-12-31,2019-02-22,0001047469-19-000624,data/raw/0000001800/000104746919000624/a2237733z10-k.htm,
0000001800,0000001800,ABT,2019,2019-12-31,2020-02-21,0001104659-20-023904,data/raw/0000001800/000110465920023904/abt-20191231x10k59d41b.htm,
0000001800,0000001800,ABT,2020,2020-12-31,2021-02-19,0001104659-21-025751,data/raw/0000001800/000110465921025751/abt-20201231x10k.htm,
0000001800,0000001800,ABT,2021,2021-12-31,2022-02-18,0001104659-22-025141,data/raw/0000001800/000110465922025141/abt-20211231x10k.htm,
0000001800,0000001800,ABT,2022,2022-12-31,2023-02-17,0001628280-23-004026,data/raw/0000001800/000162828023004026/abt-20221231.htm,
0000001800,0000001800,ABT,2023,2023-12-31,2024-02-16,0001628280-24-005348,data/raw/0000001800/000162828024005348/abt-20231231.htm,
0000001800,0000001800,ABT,2024,2024-12-31,2025-02-21,0001628280-25-007110,data/raw/0000001800/000162828025007110/abt-20241231.htm,
0000001800,0000001800,ABT,2025,2025-12-31,2026-02-20,0001628280-26-010185,data/raw/0000001800/000162828026010185/abt-20251231.htm,
0001467373,0001467373,ACN,2009,2009-08-31,2009-10-19,0001193125-09-209671,data/raw/0001467373/000119312509209671/d10k.htm,
0001467373,0001467373,ACN,2010,2010-08-31,2010-10-26,0001193125-10-235847,data/raw/0001467373/000119312510235847/d10k.htm,
0001467373,0001467373,ACN,2011,2011-08-31,2011-10-21,0001193125-11-277309,data/raw/0001467373/000119312511277309/d222389d10k.htm,
0001467373,0001467373,ACN,2012,2012-08-31,2012-10-30,0001467373-12-000170,data/raw/0001467373/000146737312000170/acn831201210k.htm,
0001467373,0001467373,ACN,2013,2013-08-31,2013-10-29,0001467373-13-000482,data/raw/0001467373/000146737313000482/acn831201310k.htm,
0001467373,0001467373,ACN,2014,2014-08-31,2014-10-24,0001467373-14-000467,data/raw/0001467373/000146737314000467/acn831201410k.htm,
0001467373,0001467373,ACN,2015,2015-08-31,2015-10-30,0001467373-15-000457,data/raw/0001467373/000146737315000457/acn831201510k.htm,
0001467373,0001467373,ACN,2016,2016-08-31,2016-10-28,0001467373-16-001080,data/raw/0001467373/000146737316001080/acn831201610k.htm,
0001467373,0001467373,ACN,2017,2017-08-31,2017-10-26,0001467373-17-000430,data/raw/0001467373/000146737317000430/acn831201710k.htm,
0001467373,0001467373,ACN,2018,2018-08-31,2018-10-24,0001467373-18-000318,data/raw/0001467373/000146737318000318/acn831201810k.htm,
0001467373,0001467373,ACN,2019,2019-08-31,2019-10-29,0001467373-19-000339,data/raw/0001467373/000146737319000339/acn831201910k.htm,
0001467373,0001467373,ACN,2020,2020-08-31,2020-10-22,0001467373-20-000376,data/raw/0001467373/000146737320000376/acn-20200831.htm,
0001467373,0001467373,ACN,2021,2021-08-31,2021-10-15,0001467373-21-000229,data/raw/0001467373/000146737321000229/acn-20210831.htm,
0001467373,0001467373,ACN,2022,2022-08-31,2022-10-12,0001467373-22-000295,data/raw/0001467373/000146737322000295/acn-20220831.htm,
0001467373,0001467373,ACN,2023,2023-08-31,2023-10-12,0001467373-23-000324,data/raw/0001467373/000146737323000324/acn-20230831.htm,
0001467373,0001467373,ACN,2024,2024-08-31,2024-10-10,0001467373-24-000278,data/raw/0001467373/000146737324000278/acn-20240831.htm,
0001467373,0001467373,ACN,2025,2025-08-31,2025-10-10,0001467373-25-000217,data/raw/0001467373/000146737325000217/acn-20250831.htm,
0000796343,0000796343,ADBE,2007,2007-11-30,2008-01-24,0001047469-08-000497,data/raw/0000796343/000104746908000497/a2181848z10-k.htm,
0000796343,0000796343,ADBE,2008,2008-11-28,2009-01-23,0000796343-09-000007,data/raw/0000796343/000079634309000007/form_10k.htm,
0000796343,0000796343,ADBE,2009,2009-11-27,2010-01-22,0000796343-10-000003,data/raw/0000796343/000079634310000003/form_10k.htm,
