month,Q_low_car,Q_high_car,LS_car,LS_se,n_cohorts,n_filings
1,0.006099,-0.010382,-0.016481,0.005821,18,1690
2,0.014533,-0.005595,-0.020128,0.009524,18,1690
3,0.020977,-0.008488,-0.029465,0.013924,18,1690
4,0.018047,-0.005215,-0.023262,0.012048,18,1690
5,0.027334,-0.005466,-0.032800,0.014648,18,1690
6,0.021861,-0.003356,-0.025217,0.015728,18,1688
7,0.032943,-0.003951,-0.036894,0.022046,18,1629
8,0.033940,-0.004835,-0.038775,0.026533,18,1617
9,0.029903,0.002993,-0.026910,0.030913,18,1614
10,0.042375,0.016354,-0.026021,0.031107,18,1609
11,0.040940,0.018298,-0.022642,0.031582,18,1605
12,0.041842,0.024296,-0.017545,0.029160,18,1603
