draw,sharpe,mean_ann_pct,alpha_FF5+MOM,t_FF5+MOM
0,-0.0642,-0.4923,0.0685,0.0346
1,-0.1682,-1.2622,-0.7754,-0.4211
2,-0.1005,-0.8391,-1.0546,-0.4657
3,0.0909,0.7621,2.6446,1.2695
4,-0.1517,-1.2673,-2.2062,-1.2018
5,-0.0036,-0.0300,0.1160,0.0561
6,0.0394,0.3009,-0.6443,-0.3628
7,0.0041,0.0306,-1.1117,-0.5323
8,-0.0165,-0.1296,1.3197,0.7078
9,-0.1692,-1.3044,-0.1715,-0.0952
10,0.1154,0.8894,1.5088,0.6421
11,-0.1756,-1.3440,-1.0469,-0.6215
12,-0.0911,-0.7291,-0.3533,-0.1678
13,0.2871,2.3034,2.7406,1.5775
14,0.1983,1.6361,1.4562,0.6705
15,-0.2899,-2.3273,-2.7969,-1.2203
16,0.0254,0.1976,0.3590,0.1916
17,-0.0860,-0.6647,-0.6097,-0.3105
18,-0.5756,-4.6331,-3.7160,-1.5444
19,0.2517,2.0430,2.0143,0.8999
20,0.2228,1.7955,1.4126,0.6970
21,0.0858,0.6823,-1.0763,-0.7000
22,0.3956,2.9037,4.5635,2.3416
23,0.1513,1.1950,-0.3760,-0.1731
24,0.1171,0.9430,-0.0672,-0.0300
25,-0.5087,-4.7163,-4.8827,-2.2958
26,0.0692,0.5366,1.0667,0.5230
27,0.0335,0.2919,-0.5081,-0.2127
28,0.0643,0.6180,0.2636,0.1380
29,0.3239,2.7900,1.3261,0.7196
30,0.3011,2.3754,1.3158,0.6923
31,0.0268,0.1785,-0.3370,-0.2143
32,0.1065,0.8725,1.9529,0.9422
33,-0.0394,-0.2975,0.0307,0.0190
34,0.3632,2.9436,3.4787,1.6884
35,0.2768,2.4800,2.8105,1.2889
36,0.0279,0.2507,0.6103,0.2855
37,-0.1152,-0.9022,-0.3846,-0.2268
38,0.2179,1.7716,-0.6121,-0.3680
39,-0.3084,-2.4470,-1.3157,-0.7057
40,-0.4365,-4.0065,-4.9059,-1.7721
41,-0.1877,-1.4411,-0.7719,-0.4039
42,0.1021,0.9247,0.8995,0.4932
43,0.2144,1.6931,3.2305,1.7921
44,0.3868,3.0151,4.0730,2.3512
45,0.3962,2.8918,3.7701,2.0808
