variant,measure,section,n_quantiles,lag_months,n_months,mean_ann_pct,vol_ann_pct,sharpe,t_mean_nw,max_drawdown_pct,hit_rate,alpha_FF5+MOM,t_FF5+MOM,sharpe_net,sharpe_common_sample
cos_full|q3|lag0,cos,full,3,0,214,-2.2486,7.3825,-0.3046,-1.0147,-45.0830,0.5047,-3.0183,-1.2732,-0.3402,-0.1029
cos_full|q3|lag1,cos,full,3,1,213,-1.5881,7.0773,-0.2244,-0.8059,-32.6004,0.5164,-2.4051,-1.0972,-0.2620,-0.0457
cos_full|q3|lag2,cos,full,3,2,212,-0.6253,6.1134,-0.1023,-0.4408,-26.9357,0.5047,-1.2566,-0.8766,-0.1461,-0.0574
cos_full|q5|lag0,cos,full,5,0,211,-0.9197,8.4565,-0.1088,-0.4442,-33.0983,0.5213,-0.9309,-0.4853,-0.1457,-0.0607
cos_full|q5|lag1,cos,full,5,1,210,0.7655,7.7532,0.0987,0.4387,-21.7560,0.5190,0.7715,0.4559,0.0574,0.1004
cos_full|q5|lag2,cos,full,5,2,209,1.0450,7.1717,0.1457,0.6966,-25.8904,0.5072,0.8900,0.5849,0.1006,0.0778
cos_full|q10|lag0,cos,full,10,0,211,2.2338,11.3623,0.1966,0.8959,-27.9953,0.5166,0.8876,0.3333,0.1616,0.3091
cos_full|q10|lag1,cos,full,10,1,210,3.4213,10.5129,0.3254,1.5628,-26.2074,0.5286,2.2694,0.9689,0.2877,0.3749
cos_full|q10|lag2,cos,full,10,2,209,4.1907,9.7141,0.4314,1.9299,-32.1441,0.5167,3.0264,1.3398,0.3900,0.3826
cos_1a|q3|lag0,cos,1a,3,0,212,1.3488,7.7456,0.1741,0.7460,-27.8795,0.5330,1.0135,0.6325,0.1417,0.2774
cos_1a|q3|lag1,cos,1a,3,1,211,0.6552,7.7651,0.0844,0.3383,-20.9107,0.5355,0.1915,0.1099,0.0521,0.2614
