Date,cos_full|q3|lag0,cos_full|q3|lag1,cos_full|q3|lag2,cos_full|q5|lag0,cos_full|q5|lag1,cos_full|q5|lag2,cos_full|q10|lag0,cos_full|q10|lag1,cos_full|q10|lag2,cos_1a|q3|lag0,cos_1a|q3|lag1,cos_1a|q3|lag2,cos_1a|q5|lag0,cos_1a|q5|lag1,cos_1a|q5|lag2,cos_1a|q10|lag0,cos_1a|q10|lag1,cos_1a|q10|lag2,cos_7|q3|lag0,cos_7|q3|lag1,cos_7|q3|lag2,cos_7|q5|lag0,cos_7|q5|lag1,cos_7|q5|lag2,cos_7|q10|lag0,cos_7|q10|lag1,cos_7|q10|lag2,jac_full|q3|lag0,jac_full|q3|lag1,jac_full|q3|lag2,jac_full|q5|lag0,jac_full|q5|lag1,jac_full|q5|lag2,jac_full|q10|lag0,jac_full|q10|lag1,jac_full|q10|lag2,jac_1a|q3|lag0,jac_1a|q3|lag1,jac_1a|q3|lag2,jac_1a|q5|lag0,jac_1a|q5|lag1,jac_1a|q5|lag2,jac_1a|q10|lag0,jac_1a|q10|lag1,jac_1a|q10|lag2,jac_7|q3|lag0,jac_7|q3|lag1,jac_7|q3|lag2,jac_7|q5|lag0,jac_7|q5|lag1,jac_7|q5|lag2,jac_7|q10|lag0,jac_7|q10|lag1,jac_7|q10|lag2
2008-12-31,-0.016284,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038506,,,,,,,,,,,,,,,,,,-0.038587,,,-0.044215,,,,,
2009-01-31,-0.125002,-0.123302,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054332,-0.050613,,,,,,,,,,,,,,,,,-0.093266,-0.096218,,-0.129260,-0.135918,,,,
2009-02-28,-0.077147,-0.072332,-0.055384,,,,,,,0.049803,,,,,,,,,0.063198,,,,,,,,,-0.064096,-0.078923,-0.066543,,,,,,,-0.003455,,,,,,,,,-0.013218,-0.064941,-0.063953,-0.029607,-0.074564,-0.072447,,,
2009-03-31,-0.043280,-0.004611,-0.005473,-0.087930,,,-0.068250,,,-0.048525,-0.093358,,-0.051319,,,-0.042378,,,-0.064949,-0.023821,,-0.114989,,,-0.147182,,,-0.089494,0.000362,0.029035,-0.136792,,,-0.066538,,,-0.068153,-0.094573,,-0.086448,,,-0.065535,,,-0.071993,-0.037285,-0.025178,-0.118707,-0.049012,-0.036423,-0.196378,,
2009-04-30,-0.076975,-0.068972,0.000908,-0.108036,-0.101747,,-0.150253,-0.139502,,-0.074030,-0.066771,0.014501,-0.050789,-0.018769,,-0.085935,-0.040790,,-0.072873,-0.078677,-0.018798,-0.132734,-0.130186,,-0.172548,-0.159273,,-0.059804,-0.069675,0.000253,-0.104114,-0.122028,,-0.155245,-0.149130,,-0.044969,-0.047498,-0.047487,-0.017348,0.004097,,-0.029792,0.004610,,-0.070008,-0.072728,-0.001740,-0.121574,-0.119407,-0.024783,-0.148734,-0.159482,
2009-05-31,-0.024170,-0.021380,-0.010456,-0.036406,-0.028442,-0.040514,-0.014479,-0.014479,-0.029286,-0.022048,-0.028575,-0.042752,0.009107,0.003422,0.016212,-0.024215,-0.042410,-0.013467,-0.014254,0.003280,0.010039,-0.003909,-0.002348,-0.005698,-0.061386,-0.061386,-0.062983,-0.058513,-0.051564,-0.049026,-0.051059,-0.039332,-0.046975,-0.018881,-0.018362,-0.027646,-0.031379,-0.045096,-0.031454,-0.032458,-0.039572,-0.036794,-0.023422,-0.033881,-0.034186,-0.018551,-0.006603,0.001340,-0.028387,-0.011155,-0.013415,-0.107512,-0.107068,-0.118426
2009-06-30,0.005293,0.004685,0.004301,0.029631,0.028875,0.028244,0.033402,0.033402,0.033402,0.024425,0.025354,0.027364,0.030991,0.032777,0.035674,0.043234,0.047415,0.051887,0.020353,0.019071,0.017817,0.036858,0.036858,0.039027,0.045210,0.045210,0.045210,0.023146,0.022690,0.023952,0.018425,0.017994,0.019957,0.039671,0.040951,0.043694,0.021827,0.024751,0.024355,0.033442,0.035679,0.039904,0.029328,0.032377,0.044745,0.003298,0.002609,0.003484,-0.000786,-0.001451,-0.000829,0.044104,0.044104,0.043555
2009-07-31,-0.024799,-0.024799,-0.024948,-0.031785,-0.031785,-0.031759,-0.018064,-0.018064,-0.018064,-0.041987,-0.041987,-0.041797,-0.033146,-0.033146,-0.033072,-0.019224,-0.019224,-0.018881,-0.047283,-0.045671,-0.045450,-0.096494,-0.097342,-0.097342,-0.129371,-0.129371,-0.129371,-0.037255,-0.037255,-0.037213,-0.064446,-0.064446,-0.064218,-0.078972,-0.067054,-0.066697,-0.053731,-0.053731,-0.053465,-0.041874,-0.041874,-0.041483,-0.018607,-0.018607,-0.018337,-0.085988,-0.085988,-0.086035,-0.099304,-0.099304,-0.099384,-0.090927,-0.090927,-0.090927
2009-08-31,-0.027196,-0.026377,-0.026377,-0.045106,-0.044290,-0.044290,-0.017568,-0.013804,-0.013804,-0.024690,-0.025762,-0.025762,-0.035955,-0.037828,-0.037828,-0.033215,-0.036341,-0.036341,-0.043865,-0.043600,-0.042723,-0.067450,-0.067297,-0.066591,-0.108937,-0.108937,-0.108937,-0.033628,-0.033532,-0.033532,-0.063968,-0.065586,-0.065586,-0.059249,-0.060119,-0.062344,-0.015956,-0.016731,-0.016731,-0.002002,-0.005625,-0.005625,-0.044839,-0.046711,-0.046711,-0.051135,-0.048869,-0.048869,-0.105661,-0.104201,-0.104201,-0.098570,-0.098570,-0.098570
2009-09-30,0.009005,0.007939,0.006887,-0.004287,-0.007484,-0.009841,-0.010720,-0.016934,-0.022950,-0.004757,-0.000146,-0.000381,-0.005482,0.001273,0.001275,0.020850,0.023468,0.036572,-0.008558,-0.015552,-0.016313,-0.040089,-0.042516,-0.043691,-0.034590,-0.036865,-0.036865,0.027501,0.024251,0.028320,0.033038,0.032051,0.038541,-0.005059,-0.008571,-0.000553,-0.005083,-0.000265,-0.000550,-0.013087,-0.005506,0.001109,0.004131,0.014708,0.026632,0.004536,-0.001469,0.003624,0.027785,0.022859,0.031187,0.007906,0.007906,0.007906
